 kd_bin,kd_bank,nil_awal,nil_akhir,rp_fee,f_fee,recid,f_type
"60329845","B02","50000","1000000","1500","N","","I"
"60329862","B02","50000","1000000","1500","N","","I"
"60329840","B02","50000","1000000","1500","N","","I"
"60329855","B02","50000","1000000","1500","N","","I"
"000070","BAA","10000","1000000","1000","N","","I"
"60329882","B02","50000","1000000","4000","N","","O"
"000095","BAE","50000","2000000","0","N","","O"
"000082","BAE","50000","2000000","0","N","1","O"
"483795","B02","50000","1000000","4000","N","","O"
"507985","B02","50000","1000000","4000","N","","O"
"000063","BAA","10000","1000000","0","N","","I"
"60329846","B02","50000","1000000","1500","N","","I"
"445076","B02","50000","1000000","4000","N","","O"
"483796","B02","50000","1000000","4000","N","","O"
"60329827","B02","50000","2000000","1500","N","","I"
"60329805","B02","50000","1000000","4000","N","","O"
"1","B01","50000","1000000","1500","N","1","I"
"601900","B01","50000","1000000","1500","N","","I"
"60329860","B02","50000","1000000","1500","N","","I"
"601350","B03","50000","1000000","1500","N","","I"
"60329836","B02","50000","1000000","4000","N","","O"
"46169933","B02","50000","1000000","4000","N","","O"
"60329841","B02","50000","1000000","4000","N","","O"
"60329853","B02","50000","1000000","4000","N","","O"
"46170033","B02","50000","1000000","4000","N","","O"
"60329825","B02","50000","2000000","1500","N","","I"
"60329825","B02","50000","2000000","1500","N","",""
"000076","BAC","50000","100000","5000","N","","O"
"000076","BAC","100001","500000","8000","N","","O"
"000076","BAC","500001","1000000","10000","N","","O"
"60329887","B02","50000","1000000","4000","N","","O"
"46169960","B02","50000","1000000","4000","N","","O"
"60329839","B02","50000","1000000","1500","N","","I"
"60329824","B02","50000","1000000","1500","N","","I"
"014501","B01","50000","1000000","1500","N","","I"
"014520","B01","50000","1000000","1500","N","","I"
"000081","BAE","50000","1000000","1500","N","","O"
"60329828","B02","50000","1000000","1500","N","","I"
"409790","B02","50000","1000000","4000","N","","O"
"60329809","B02","50000","1000000","4000","N","","O"
"507988","B02","50000","1000000","4000","N","","O"
"405651","B02","50000","1000000","4000","N","","O"
"60329884","B02","50000","1000000","4000","N","","O"
"7546","B12","50000","1000000","1500","N","","I"
"603200","B02","50000","1000000","4000","N","","O"
"483700","B02","50000","1000000","4000","N","","O"
"409700","B02","50000","1000000","4000","N","","O"
"60329897","B02","50000","1000000","4000","N","","O"
"60329889","B02","50000","1000000","4000","N","","O"
"012001","B12","50000","1000000","1500","N","1","I"
"60329803","B02","50000","1000000","4000","N","","O"
"000070","BAE","1","1","0","N","1",""
"000088","BAE","1","1","0","N","1",""
"461700","B02","50000","1000000","4000","N","","O"
"60329838","B02","50000","1000000","4000","N","","O"
"60329842","B02","50000","1000000","4000","N","","O"
"60329852","B02","50000","1000000","4000","N","","O"
"60329808","B02","50000","1000000","4000","N","","O"
"48379566","B02","50000","1000000","4000","N","","O"
"60329807","B02","50000","1000000","4000","N","","O"
"60329822","B02","50000","1000000","4000","N","","O"
"507987","B02","50000","1000000","4000","N","","O"
"48379699","B02","50000","1000000","4000","N","","O"
"60329875","B02","50000","1000000","4000","N","","O"
"60329886","B02","50000","1000000","4000","N","","O"
"60329872","B02","50000","1000000","4000","N","","O"
"60329874","B02","50000","1000000","4000","N","","O"
"461699","B02","50000","1000000","4000","N","","O"
"60329834","B02","50000","1000000","1500","N","","I"
"60329835","B02","50000","1000000","1500","N","","I"
"60329899","B02","50000","1000000","1500","N","","I"
"60329850","B02","50000","1000000","1500","N","","I"
"60329864","B02","50000","1000000","1500","N","","I"
"000076","BAC","10000","1000000","1500","N","1","I"
"60329876","B02","50000","1000000","4000","N","","O"
"60329826","B02","50000","1000000","1500","N","","I"
"60329898","B02","50000","1000000","1500","N","1","I"
"409766","B02","50000","1000000","4000","N","","O"
"754680","B02","50000","1000000","1500","N","","I"
"60329837","B02","50000","1000000","4000","N","","O"
"461600","B02","50000","1000000","4000","N","","I"
"467840","B02","50000","1000000","4000","N","","O"
"60329810","B02","50000","1000000","1500","N","","I"
"60329831","B02","50000","1000000","1500","N","","I"
"60329832","B02","50000","1000000","1500","N","","I"
"60329833","B02","50000","1000000","1500","N","","I"
"60329863","B02","50000","1000000","1500","N","","I"
"62","BAA","1","1000000","1000","N","","I"
"62","BAA","1","1000000","5000","N","","O"
"62","BAA","1","200000","5000","N","1","O"
"62","BAA","200001","1000000","1","Y","1","O"
"000062","BAA","10000","1000000","1000","N","","I"
"603298","B02","50000","1000000","4000","N","","O"
"014500","B01","50000","1000000","1500","N","","I"
"636351","BAA","1","1000000","1000","N","1","I"
"60329820","B02","50000","1000000","1500","N","","I"
"936088","B05","50000","1000000","1500","N","1","I"
"523940","B02","150000","100000000","0","N","",""
