FMRCID|FMKDIV|FMKDEP|FMKATB|FMFLOK
1|04|34|04|01
1|04|41|02|01
1|04|52|02|01
1|04|38|09|01
1|04|36|03|01
1|06|46|10|01
1|06|46|08|01
1|06|46|05|01
1|06|46|07|01
1|06|46|06|01
1|06|73|02|01
1|04|53|01|01
1|04|38|01|01
1|04|35|05|01
1|06|38|16|02
1|04|52|04|01
1|04|52|01|01
1|06|38|17|01
1|04|41|06|01
1|04|41|05|01
1|06|73|01|01
1|04|38|08|01
1|06|38|14|01
1|06|69|01|01
1|04|41|01|01
1|04|52|03|01
1|04|33|08|02
1|04|34|05|02
1|04|37|02|02
1|04|32|03|02
1|04|31|01|02
1|04|32|01|02
1|04|33|07|02
1|04|36|01|02
1|04|36|04|02
1|04|31|02|02
1|04|32|02|02
1|06|63|01|01
|04|33|08|01
|06|38|07|01
|06|71|01|01
|06|38|08|01
|04|52|05|01
|06|38|16|01
|06|38|17|01
|06|68|01|01
|06|68|02|01
|04|34|04|01
|04|52|02|01
|04|35|05|01
|04|37|02|01
|06|46|09|01
|06|66|01|01
|06|74|02|01
|04|32|03|01
|06|38|05|01
|04|52|03|01
|06|38|09|01
|04|36|03|01
|04|31|01|01
|04|32|01|01
|04|33|07|01
|04|36|01|01
|04|36|04|01
|04|41|02|01
|04|31|02|01
|04|32|02|01
|04|53|01|01
|04|53|02|01
|04|34|05|01
