KD_DC|JUMLAH_FILTER_DATA|JUMLAH_PLU_TBL_BKL_BARU|KETERANGAN
G001|9|9|SAMA
G004|9|9|SAMA
G005|9|9|SAMA
G009|9|9|SAMA
G020|9|9|SAMA
G025|9|9|SAMA
G026|9|9|SAMA
G027|9|9|SAMA
G028|9|9|SAMA
G029|9|9|SAMA
G030|9|9|SAMA
G033|9|9|SAMA
G034|9|9|SAMA
G049|12|12|SAMA
G050|13|13|SAMA
G080|9|9|SAMA
G089|10|10|SAMA
G092|11|11|SAMA
G097|9|9|SAMA
G099|11|11|SAMA
G105|9|9|SAMA
G107|9|9|SAMA
G113|9|9|SAMA
G116|9|9|SAMA
G117|9|9|SAMA
G137|9|9|SAMA
G143|10|10|SAMA
G146|9|9|SAMA
G148|9|9|SAMA
G149|5|5|SAMA
G156|9|9|SAMA
G157|9|9|SAMA
G158|10|10|SAMA
G159|1|9|TIDAK SAMA
G165|9|9|SAMA
G174|632|638|TIDAK SAMA
G177|9|9|SAMA
G218|1562|1573|TIDAK SAMA
G224|1154|1154|SAMA
G232|290|290|SAMA
G234|1421|1421|SAMA
G235|0|9|TIDAK SAMA
G236|542|542|SAMA
G237|562|562|SAMA
G241|969|969|SAMA
G242|1299|1300|TIDAK SAMA
G301|9|9|SAMA
G305|9|9|SAMA
G801|9|9|SAMA
