KODETOKO|TGLDOC|KODESUP|TYPE_TRANS|NODOC
TI4C|2022-08-16|SG2M|BPB BKL|6065
TI4C|2022-08-16|SI7C|BPB BKL|6069
TI4C|2022-08-16|S704|BPB BKL|6070
TI4C|2022-08-16|S5RB|BPB BKL|6071
TI4C|2022-08-16|SG2L|BPB BKL|6072
TI4C|2022-08-16|SAX2|BPB BKL|6073
TI4C|2022-08-16|SIKH|BPB BKL|6074
TI4C|2022-08-16|SHB1|BPB BKL|6075
TI4C|2022-08-16|SG2M|BPB BKL|6076
TI4C|2022-08-16|SIFX|BPB BKL|6077
TI4C|2022-08-16|SIFX|BPB BKL|6078
TI4C|2022-08-16|S0TX|BPB BKL|6079
TI4C|2022-08-16|S64C|BPB BKL|6080
TI4C|2022-08-16|SGN2|BPB BKL|6081
TI4C|2022-08-16|SIFX|BPB BKL|6082
TI4C|2022-08-16|SAX2|BPB BKL|6083
TI4C|2022-08-16|SF4N|BPB BKL|6086
TI4C|2022-08-16|SG2M|BPB BKL|6087
TI4C|2022-08-16|SHB1|BPB BKL|6088
TI4C|2022-08-16|SG2M|BPB BKL|6092
TI4C|2022-08-16|SIFX|BPB BKL|6093
TI4C|2022-08-16|SGN2|NRB BKL|1982
