DOCNO|DOCNO2|DIV|TOKO|TOKO_1|GUDANG|PRDCD|QTY|PRICE|GROSS|PPN|TANGGAL|TANGGAL2|SHOP|ISTYPE|PRICE_IDM|PPNBM_IDM|PPNRP_IDM|SCTYPE|BKP|SUB_BKP|CABANG|TIPE_GDG|KETERANGAN|PPN_RATE
1981|663588|40|G001||G001|10016508|3|1.000|3.00|0.000000|16-08-2022|16-08-2022|TI4C|04|1.000000|0|0.000000|120000|N|N|002||04120000 SARANA|0
1981|663588|40|G001||G001|10016509|6|1.000|6.00|0.000000|16-08-2022|16-08-2022|TI4C|04|1.000000|0|0.000000|120000|N|N|002||04120000 SARANA|0
1981|663587|40|G001||G001|20022721|6|1.000|6.00|0.000000|16-08-2022|16-08-2022|TI4C|04|1.000000|0|0.000000|120000|N|N|002||04120000 SARANA|0
1981|663589|40|G001||G001|20070089|2|2.000|4.00|0.000000|16-08-2022|16-08-2022|TI4C|04|2.000000|0|0.000000|120000|N|N|002||04120000 SARANA|0
1983|660952|40|G001||G001|20038946|18|2.000|36.00|0.000000|16-08-2022|15-08-2022|TI4C|04|2.000000|0|0.000000|120000|N|N|002||04120000 SARANA_K|0
1984|943166|18|G001||G001|20103286|3|64800.000|194400.00|0.000000|16-08-2022|24-11-2020|TI4C|04|64800.000000|0|0.000000|040000|Y|Y|002||04040000 TAG N|11
1984|1955|18|G001||G001|20103287|5|64800.000|324000.00|0.000000|16-08-2022|09-03-2021|TI4C|04|64800.000000|0|0.000000|040000|Y|Y|002||04040000 TAG N|11
1984|943166|18|G001||G001|20103288|3|64800.000|194400.00|0.000000|16-08-2022|24-11-2020|TI4C|04|64800.000000|0|0.000000|040000|Y|Y|002||04040000 TAG N|11
1984|961874|18|G001||G001|20103292|9|40000.000|360000.00|0.000000|16-08-2022|02-12-2020|TI4C|04|40000.000000|0|0.000000|040000|Y|Y|002||04040000 TAG N|11
1984|943166|18|G001||G001|20103294|3|40000.000|120000.00|0.000000|16-08-2022|24-11-2020|TI4C|04|40000.000000|0|0.000000|040000|Y|Y|002||04040000 TAG N|11
1985|356448|04|G001||G001|20120034|13|6691.000|86983.00|9568.130000|16-08-2022|03-05-2022|TI4C|04|6691.000000|0|0.000000|030000|Y|Y|002||04030000 PERUBAHAN KATEGORI|11
1986|664275|40|G001||G001|20038946|11|2.000|22.00|0.000000|16-08-2022|16-08-2022|TI4C|04|2.000000|0|0.000000|120000|N|N|002||04120000 SARANA_K|0
1987|663587|37|G001||G001|10031694|1|10162.159|10162.00|0.000000|16-08-2022|16-08-2022|TI4C|04|10162.159000|0|0.000000|070201|Y|Y|002||04070201 MR BREAD|11
1987|663587|37|G001||G001|20010387|2|11114.868|22230.00|0.000000|16-08-2022|16-08-2022|TI4C|04|11114.868000|0|0.000000|070201|Y|Y|002||04070201 MR BREAD|11
1987|663587|37|G001||G001|20041084|2|9209.457|18419.00|0.000000|16-08-2022|16-08-2022|TI4C|04|9209.457000|0|0.000000|070201|Y|Y|002||04070201 MR BREAD|11
1987|663587|37|G001||G001|20064211|2|3175.673|6351.00|0.000000|16-08-2022|16-08-2022|TI4C|04|3175.673000|0|0.000000|070201|Y|Y|002||04070201 MR BREAD|11
1987|663587|37|G001||G001|20074955|1|9209.457|9209.00|0.000000|16-08-2022|16-08-2022|TI4C|04|9209.457000|0|0.000000|070201|Y|Y|002||04070201 MR BREAD|11
1988|663589|37|G001||G001|20070041|9|3121.620|28095.00|0.000000|16-08-2022|16-08-2022|TI4C|04|3121.620000|0|0.000000|070204|Y|Y|002||04070204 PRIME BREAD|11
1988|659741|37|G001||G001|20100666|4|3468.470|13874.00|0.000000|16-08-2022|15-08-2022|TI4C|04|3468.470000|0|0.000000|070204|Y|Y|002||04070204 PRIME BREAD|11
1989|663588|37|G001||G001|10004372|1|4054.000|4054.00|0.000000|16-08-2022|16-08-2022|TI4C|04|4054.000000|0|0.000000|070202|Y|Y|002||04070202 SARI ROTI|11
1989|663588|37|G001||G001|20003591|1|11149.000|11149.00|0.000000|16-08-2022|16-08-2022|TI4C|04|11149.000000|0|0.000000|070202|Y|Y|002||04070202 SARI ROTI|11
1989|659740|37|G001||G001|20062099|4|3716.000|14864.00|0.000000|16-08-2022|15-08-2022|TI4C|04|3716.000000|0|0.000000|070202|Y|Y|002||04070202 SARI ROTI|11
